dates,ticker,Unnamed: 0,compound_vader_score,vader_label,news,Unnamed: 0_x,ticker_average,Unnamed: 0_y,hsi_average,actual_label
2020-01-21,752,129,0.0,2," *JPM Tweaks TPs on Developers, Landlords; Bullish on SHK, Sino, CKA, Swire Properties ",5,-0.030172385886647377,13,-0.016311454493291026,2
2020-02-18,2293,131,0.29600000000000004,2,   《HKEx》- 00014 HYSAN DEV - Monthly Return of Equity Issuer on Movements in Securities for the Month Ended 31 January 2021 ,23,0.017699098239742958,31,-0.008510283300019808,0
2020-02-27,209,132,0.4466,2," RVD: HK Last Dec Property Price Index Sags 0.39% MoM, Down for 3rd Mth ",30,1.5909091063028526,38,0.009402827886609191,2
2020-03-03,1883,133,0.29600000000000004,2,   《HKEx》- 00014 HYSAN DEV - Date of Board Meeting ,33,0.05017924975568504,41,-0.005083836693565528,0
2020-03-11,2030,134,0.0,2, JLL: Central's Grade A Office Vacancy Rate Tops 7% For 1st Time Since 2004 ,39,-0.029197052345843032,47,-0.008969046066510682,2
2020-03-16,2678,136,0.0,2," <Research Report>UBS' Latest Ratings, TPs on Developers, Landlords (Table) ",42,-0.007849248790577756,50,-0.010903263574592884,0
2020-03-18,2678,137,0.29600000000000004,2, <Research Report>UBS: Cautious on Property Developers; Turns Positive on Commercial Property ,44,0.0137221140228077,52,-0.03177295458497873,0
2020-03-18,6918,138,0.29600000000000004,2, *UBS: Cautious on Property Developers; Turns Positive on Commercial Property  ,0,-0.18181822122621047,52,-0.03177295458497873,2
2020-03-27,1447,139,0.29600000000000004,2,   《HKEx》- 00014 HYSAN DEV - Nomination Committee Terms of Reference ,51,0.12676061422336446,59,-0.011954138182030937,0
2020-05-07,1376,142,0.29600000000000004,2," <Research Report>JPM's Latest Ratings & TPs on HK Developers, Landlords (Table) ",0,-0.14864866606417648,84,-0.005811566208672086,2
2020-05-11,603,143,0.29600000000000004,2," <Research Report>JPM Tweaks TPs on Developers, Landlords; Bullish on SHK, Sino, CKA, Swire Properties ",78,-0.0084033781808187,86,0.005389452021162236,0
2020-05-11,878,144,0.29600000000000004,2, LandsD: 5 Bids for 2nd Residential Site on Mansfield Road  ,78,0.013736250240465434,86,0.005389452021162236,2
2020-05-12,1446,146,0.8979,2,   《HKEx》- 00016 SHK PPT - Monthly Return of Equity Issuer on Movements in Securities for the month ended 31 January 2021 ,79,0.01282057748038625,87,-0.004611228857049019,0
2020-05-13,194,147,0.4466,2," RVD: HK Last Dec Property Price Index Sags 0.39% MoM, Down for 3rd Mth ",80,-0.011235973784791551,88,0.002846375203267673,0
2020-05-13,610,148,0.29600000000000004,2, JLL: Central's Grade A Office Vacancy Rate Tops 7% For 1st Time Since 2004 ,80,0.009434066238083006,88,0.002846375203267673,2
2020-05-13,1147,149,0.4466,2,   《HKEx》- 00016 SHK PPT - List of Directors and their Roles and Functions ,0,-0.2274881232093006,88,0.002846375203267673,0
2020-05-13,1297,150,0.9499,2, Sophia Chan: Weighs Early Shutdown of Malls; May Ask Reopened Premises to Ensure 'Leave Home Safe' Installation ,80,0.039999961853027344,88,0.002846375203267673,2
2020-05-13,1412,151,0.8979,2,   《HKEx》- 00016 SHK PPT - Date of Board Meeting ,78,0.010309268214748769,88,0.002846375203267673,2
2020-05-13,3358,152,0.4466,2," <Research Report>JPM's Latest Ratings & TPs on HK Developers, Landlords (Table) ",80,-0.04081634763179803,88,0.002846375203267673,0
