2021-03-01," <Research Report>CICC's Forecast on HSI Constituent Adjustment, Potential Fund Flow (Table) ",2,news-daily
2021-03-01," <Research Report>CICC: AliHealth, Haidilao Turning Bluechips May Bring Passive Fund Inflow $1.5B, $980M ",2,news-daily
2021-02-24," *Paul Chan Granting Each Residential Electricity Account a Subsidy of $1,000  ",2,news-daily
2021-02-23, <Research Report>CICC Upgrades CLP HOLDINGS (00002.HK) to Outperform for Enticing Div. Yield ,2,news-daily
2021-02-23, *CICC Upgrades CLP HOLDINGS (00002.HK) to Outperform for Enticing Div. Yield ,2,news-daily
2021-02-23," <Research Report>Citi Hikes CLP HOLDINGS (00002.HK) TP to $86.5, Rated Buy ",2,news-daily
2021-02-23," *Citi Hikes CLP HOLDINGS (00002.HK) TP to $86.5, Rated Buy ",2,news-daily
2021-02-23," <Research Report>M Stanley Trims CLP HOLDINGS (00002.HK) TP to $85, Rated Overweight	 ",2,news-daily
2021-02-23," *M Stanley Trims CLP HOLDINGS (00002.HK) TP to $85, Rated Overweight ",2,news-daily
2021-02-23," <Research Report>C Suisse Trims CLP HOLDINGS (00002.HK) TP to $88, Rated Outperform ",2,news-daily
2021-02-23, <Research Report>BofAS Cuts CLP HOLDINGS (00002.HK) TP to $97; Rated Buy ,2,news-daily
2021-02-23, *BofAS Cuts CLP HOLDINGS (00002.HK) TP to $97; Rated Buy ,2,news-daily
2021-02-23," *C Suisse Trims CLP HOLDINGS (00002.HK) TP to $88, Rated Outperform ",2,news-daily
2021-02-22, CLP HOLDINGS: HK 2M21 Electricity Sales Solid ,2,news-daily
2021-02-22, CLP HOLDINGS Prudent on Div Pay; Not Consider 120th Anniversary Spec. Div. For Now ,2,news-daily
2021-02-22," *CLP HOLDINGS FY20 Earnings Rise 1.46x to $11.456B, Declares 4th Interim DPS $1.21 ",2,news-daily
2021-02-22," <Blue Chip Results>CLP HOLDINGS Annual NP Rises Nearly 1.5x to $11.456B, Declares 4th Interim DPS $1.21 ",2,news-daily
2021-01-19, CLP HOLDINGS Showers 800K Eligible Families with $100 Coupons ,2,news-daily
2020-11-30," CLP HOLDINGS: Huge Opportunity from Nations' Investment in Better Grid, Faster Energy Transformation  ",2,news-daily
2020-11-24," <Research Report>Citi Latest Ratings, TPs on HK Utilities (Table) ",2,news-daily
2020-11-24,"Citi: HK Utilities Div Yield Up to 4.8%, Peak since SARs Outbreak; Lifts TP on CLP",2,news-daily
2020-11-24,HSBC Building Tseung Kwan O Switches on Solar Energy Installation ,2,news-daily
2020-11-24,"*Citi: HK Utilities Div Yield Up to 4.8%, Peak since SARs Outbreak; Lifts TP on CLP",2,news-daily
2020-11-11,JPM's APAC ESG Top Ideas (Table) ,2,news-daily
2020-11-10,HK Govt: 2 Electricity Suppliers Decide to Freeze 2021 Net Tariff,2,news-daily
2020-11-10,CLP HOLDINGS 2020 Estimated Capex at $9.645B,2,news-daily
2020-11-10,*HK Govt: 2 Electricity Suppliers Decide to Freeze 2021 Net Tariff,2,news-daily
2020-11-10,Two Electricity Suppliers Propose Freezing Avg Net Tariff: Rumors,2,news-daily
2020-11-09,CLP Power Unfolds Over $160M Community Support Programmes ,2,news-daily
2020-10-29,CLP-commissioned Study: Demand for Smart Building Solutions in GBA May be More Than Double to Over US$1.4B/ Yr,2,news-daily
